from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,lr_scheduler,max_n_segments,num_mem_tokens,model_path,num_steps,best_valid_exact_match,exact_match,k2,freeze_model_weights
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,2,linear,3,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/resrmt/linear_adamw_wd1e-03_3x512_mem16_resmem-1_bs6_bptt--1_from_cpt_0-3_teacher-forcing/run_skip_curriculum_no_ff,10000,0.8308308124542236,0.8308308124542236,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,2,linear,3,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/resrmt/linear_adamw_wd1e-03_3x512_mem16_resmem-1_bs6_bptt--1_from_cpt_0-3_teacher-forcing/run_skip_curriculum,3400,0.6406406164169312,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,2,linear,3,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/resrmt/linear_adamw_wd1e-03_3x512_mem16_resmem-1_bs6_bptt--1_from_cpt_0-3_teacher-forcing/run_skip_curriculum,0,0.0,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,2,linear,3,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/resrmt/linear_adamw_wd1e-03_3x512_mem16_resmem-1_bs6_bptt--1_from_cpt_0-3_teacher-forcing/run_skip_curriculum,6800,0.6446446180343628,0.6446446180343628,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,1,linear,6,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/resrmt/linear_adamw_wd1e-03_6x512_mem16_resmem-1_bs6_bptt--1_from_cpt_3-6_teacher-forcing/run_skip_curriculum_no_ff,10000,0.46146145462989807,0.46146145462989807,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,1,,6,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/resrmt/linear_adamw_wd1e-03_6x512_mem16_resmem-1_bs6_bptt--1_from_cpt_3-6_teacher-forcing/run_skip_curriculum_drop_lr,2400,0.0,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,1,,6,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/resrmt/linear_adamw_wd1e-03_6x512_mem16_resmem-1_bs6_bptt--1_from_cpt_3-6_teacher-forcing/run_skip_curriculum_drop_lr,2200,0.4554554522037506,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,1,linear,6,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/resrmt/linear_adamw_wd1e-03_6x512_mem16_resmem-1_bs6_bptt--1_from_cpt_3-6_teacher-forcing/run_skip_curriculum,5400,0.45045045018196106,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,2,linear,3,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/resrmt/linear_adamw_wd1e-03_3x512_mem16_resmem-1_bs6_bptt--1_from_cpt_1-3_teacher-forcing/run_curr_fix2,800,0.6286286115646362,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,2,linear,3,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/resrmt/linear_adamw_wd1e-03_3x512_mem16_resmem-1_bs6_bptt--1_from_cpt_1-3_teacher-forcing/run_jump_curriculum_fix,32160,0.6536536812782288,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,2,linear,3,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/resrmt/linear_adamw_wd1e-03_3x512_mem16_resmem-1_bs6_bptt--1_from_cpt_1-3_teacher-forcing/run_jump_curriculum_fix,40000,0.9959959983825684,0.9959959983825684,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,1,linear,6,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/resrmt/linear_adamw_wd1e-03_6x512_mem16_resmem-1_bs6_bptt--1_from_cpt_1-6_teacher-forcing/run_curr_fix2,40000,0.4654654562473297,0.4654654562473297,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,2,,3,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/resrmt/linear_adamw_wd1e-03_3x512_mem16_resmem-1_bs6_bptt--1_from_cpt_2-3_teacher-forcing/run_skip_curriculum_drop_lr,4400,0.0,0.0,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,2,,3,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/resrmt/linear_adamw_wd1e-03_3x512_mem16_resmem-1_bs6_bptt--1_from_cpt_2-3_teacher-forcing/run_skip_curriculum_drop_lr,10000,0.6586586833000183,0.6586586833000183,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,6,linear,1,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/resrmt/linear_adamw_wd1e-03_1x512_mem16_resmem-1_bs6_bptt--1_from_cpt_0-1_teacher-forcing/run_curr_fix2,2720,1.0,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,6,linear,1,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/resrmt/linear_adamw_wd1e-03_1x512_mem16_resmem-1_bs6_bptt--1_from_cpt_0-1_teacher-forcing/run_jump_curriculum_fix,40000,1.0,1.0,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,6,linear,1,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/resrmt/linear_adamw_wd1e-03_1x512_mem16_resmem-1_bs6_bptt--1_from_cpt_0-1_teacher-forcing/run_jump_curriculum_fix,3000,1.0,1.0,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,6,linear,1,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/resrmt/linear_adamw_wd1e-03_1x512_mem16_resmem-1_bs6_bptt--1_from_cpt_0-1_teacher-forcing/run_jump_curriculum_fix,40000,1.0,1.0,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,4,linear,6,4,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/rmt-br/linear_adamw_wd1e-03_6x128_mem4_resmem-1_bs24_bptt--1_from_cpt_0-6_teacher-forcing/run_sep_q_fix,1550,0.17917917668819427,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,1,linear,6,0,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/rmt-br/linear_adamw_wd1e-03_6x128_mem0_resmem8_bs6_bptt--1_from_cpt_0-6_teacher-forcing/run_mem_test,2000,0.41841840744018555,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,1,linear,6,0,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/rmt-br/linear_adamw_wd1e-03_6x128_mem0_resmem8_bs6_bptt--1_from_cpt_0-6_teacher-forcing/run_mem_test,175,0.0,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,1,linear,6,0,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/rmt-br/linear_adamw_wd1e-03_6x128_mem0_resmem8_bs6_bptt--1_from_cpt_0-6_teacher-forcing/run_mem_test,0,0.0,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,4,linear,6,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/rmt-br/linear_adamw_wd1e-03_6x128_mem16_resmem-1_bs24_bptt--1_from_cpt_0-6_teacher-forcing/run_full_layer_aggr,1650,0.3523523509502411,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,4,linear,6,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/rmt-br/linear_adamw_wd1e-03_6x128_mem16_resmem-1_bs24_bptt--1_from_cpt_0-6_teacher-forcing/run_layer_aggr,18200,0.43943944573402405,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,24,linear,1,4,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/rmt-br/linear_adamw_wd1e-03_1x128_mem4_resmem0_bs24_bptt--1_from_cpt_0-1_teacher-forcing/run_sep_q_fix,10000,0.5855855941772461,0.5855855941772461,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,3,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/rmt-br/linear_adamw_wd1e-03_3x128_mem16_resmem0_bs24_bptt--1_from_cpt_0-3_teacher-forcing/run_bf16_1,25,0.0,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,3,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/rmt-br/linear_adamw_wd1e-03_3x128_mem16_resmem0_bs24_bptt--1_from_cpt_0-3_teacher-forcing/run_bf16_1,12900,0.9939939975738525,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,3,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/rmt-br/linear_adamw_wd1e-03_3x128_mem16_resmem0_bs24_bptt--1_from_cpt_0-3_teacher-forcing/run_bf16_1,25,0.0,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,3,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/rmt-br/linear_adamw_wd1e-03_3x128_mem16_resmem0_bs24_bptt--1_from_cpt_0-3_teacher-forcing/run_bf16_1,1000,0.38938939571380615,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,3,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/rmt-br/linear_adamw_wd1e-03_3x128_mem16_resmem0_bs24_bptt--1_from_cpt_0-3_teacher-forcing/run_bf16_1,25,0.0,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,3,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/rmt-br/linear_adamw_wd1e-03_3x128_mem16_resmem0_bs24_bptt--1_from_cpt_0-3_teacher-forcing/run_bf16_1,0,0.0,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,3,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/rmt-br/linear_adamw_wd1e-03_3x128_mem16_resmem0_bs24_bptt--1_from_cpt_0-3_teacher-forcing/run_bf16_1,25,0.0,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,3,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/rmt-br/linear_adamw_wd1e-03_3x128_mem16_resmem0_bs24_bptt--1_from_cpt_0-3_teacher-forcing/run_bf16_1,150,0.0,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,3,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/rmt-br/linear_adamw_wd1e-03_3x128_mem16_resmem0_bs24_bptt--1_from_cpt_0-3_teacher-forcing/run_bf16_1,5225,0.7847847938537598,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,3,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/rmt-br/linear_adamw_wd1e-03_3x128_mem16_resmem0_bs24_bptt--1_from_cpt_0-3_teacher-forcing/run_bf16_1,25,0.0,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,3,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/rmt-br/linear_adamw_wd1e-03_3x128_mem16_resmem0_bs24_bptt--1_from_cpt_0-3_teacher-forcing/run_bf16_1,75,0.0,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,3,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/rmt-br/linear_adamw_wd1e-03_3x128_mem16_resmem0_bs24_bptt--1_from_cpt_0-3_teacher-forcing/run_bf16_1,325,0.0,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,3,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/rmt-br/linear_adamw_wd1e-03_3x128_mem16_resmem0_bs24_bptt--1_from_cpt_0-3_teacher-forcing/run_bf16_1,0,0.0,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,3,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/rmt-br/linear_adamw_wd1e-03_3x128_mem16_resmem0_bs24_bptt--1_from_cpt_0-3_teacher-forcing/run_bf16_1,25,0.0,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,3,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/rmt-br/linear_adamw_wd1e-03_3x128_mem16_resmem0_bs24_bptt--1_from_cpt_0-3_teacher-forcing/run_bf16_2,3725,0.4924924969673157,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,1,linear,6,4,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/rmt-br/linear_adamw_wd1e-03_6x512_mem4_resmem-1_bs6_bptt--1_from_cpt_0-6_teacher-forcing/run_mem_test,4400,0.4544544517993927,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,3,4,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/rmt-br/linear_adamw_wd1e-03_3x128_mem4_resmem-1_bs24_bptt--1_from_cpt_0-3_teacher-forcing/run_test_deepspeed,0,0.0,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,3,4,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/rmt-br/linear_adamw_wd1e-03_3x128_mem4_resmem-1_bs24_bptt--1_from_cpt_0-3_teacher-forcing/run_test_deepspeed,0,0.0,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,3,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/rmt-br/linear_adamw_wd1e-03_3x128_mem16_resmem-1_bs24_bptt--1_from_cpt_0-3_teacher-forcing/run_br_base1,0,0.0,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,3,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/rmt-br/linear_adamw_wd1e-03_3x128_mem16_resmem-1_bs24_bptt--1_from_cpt_0-3_teacher-forcing/run_br_base1,19725,0.9509509801864624,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,3,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/rmt-br/linear_adamw_wd1e-03_3x128_mem16_resmem-1_bs24_bptt--1_from_cpt_0-3_teacher-forcing/run_br_base1,8000,0.6806806921958923,0.6806806921958923,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,3,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/rmt-br/linear_adamw_wd1e-03_3x128_mem16_resmem-1_bs24_bptt--1_from_cpt_0-3_teacher-forcing/run_br_base3,16925,0.9939939975738525,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,3,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/rmt-br/linear_adamw_wd1e-03_3x128_mem16_resmem-1_bs24_bptt--1_from_cpt_0-3_teacher-forcing/run_full_layer_aggr,9100,0.6746746897697449,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,3,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/rmt-br/linear_adamw_wd1e-03_3x128_mem16_resmem-1_bs24_bptt--1_from_cpt_0-3_teacher-forcing/run_poop,0,0.0,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,3,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/rmt-br/linear_adamw_wd1e-03_3x128_mem16_resmem-1_bs24_bptt--1_from_cpt_0-3_teacher-forcing/run_poop,0,0.0,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,3,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/rmt-br/linear_adamw_wd1e-03_3x128_mem16_resmem-1_bs24_bptt--1_from_cpt_0-3_teacher-forcing/run_poop,0,0.0,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,3,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/rmt-br/linear_adamw_wd1e-03_3x128_mem16_resmem-1_bs24_bptt--1_from_cpt_0-3_teacher-forcing/run_br_base2,18100,0.9949949979782104,0.9949949979782104,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,3,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/rmt-br/linear_adamw_wd1e-03_3x128_mem16_resmem-1_bs24_bptt--1_from_cpt_0-3_teacher-forcing/run_bf16_tmux,25000,0.9159159064292908,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,3,4,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/rmt-br/linear_adamw_wd1e-03_3x128_mem4_resmem0_bs24_bptt--1_from_cpt_0-3_teacher-forcing/run_sep_q_fix2,40000,0.4744744598865509,0.4744744598865509,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,3,4,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/rmt-br/linear_adamw_wd1e-03_3x128_mem4_resmem0_bs24_bptt--1_from_cpt_0-3_teacher-forcing/run_sep_q_fix,10000,0.29729729890823364,0.29729729890823364,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,1,linear,6,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/rmt-br/linear_adamw_wd1e-03_6x512_mem16_resmem-1_bs6_bptt--1_from_cpt_0-6_teacher-forcing/run_sep_q,3400,0.18818819522857666,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,1,linear,6,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/rmt-br/linear_adamw_wd1e-03_6x512_mem16_resmem-1_bs6_bptt--1_from_cpt_0-6_teacher-forcing/run_mem_test,6825,0.38038039207458496,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,3,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/rmt/linear_adamw_wd1e-03_3x128_mem16_resmem-1_bs24_bptt--1_from_cpt_0-3_teacher-forcing/run_rmt_base1,15300,0.9989989995956421,0.9989989995956421,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,8,linear,3,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/rmt/linear_adamw_wd1e-03_3x128_mem16_resmem-1_bs24_bptt--1_from_cpt_0-3_teacher-forcing/run_rmt_base2,6325,0.8968968987464905,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,1,linear,6,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/rmt/linear_adamw_wd1e-03_6x512_mem16_resmem-1_bs6_bptt--1_from_cpt_0-6_teacher-forcing/run_rmt_long_run,40000,0.759759783744812,0.759759783744812,-1,False
gpt2,,modeling_rmt.block_resrmt:GPT2ModelWithBlockWiseMemory,decoder,1e-05,1,linear,6,4,/data/home/admin/rmt/runs/qa3_three-supporting-facts/gpt2/bwrmt/linear_adamw_wd1e-03_6x512_mem4_resmem0_bs6_bptt--1_from_cpt_0-6_teacher-forcing/run_mem_test,2700,1.0,1.0,-1,False
gpt2,,modeling_rmt.block_resrmt:GPT2ModelWithBlockWiseMemory,decoder,1e-05,1,linear,6,1,/data/home/admin/rmt/runs/qa3_three-supporting-facts/gpt2/bwrmt/linear_adamw_wd1e-03_6x512_mem1_resmem0_bs6_bptt--1_from_cpt_0-6_teacher-forcing/run_mem_test,1025,0.9982905983924866,,-1,False
gpt2,,modeling_rmt.block_resrmt:GPT2ModelWithBlockWiseMemory,decoder,1e-05,1,linear,6,4,/data/home/admin/rmt/runs/qa3_three-supporting-facts/gpt2/bwrmt/linear_adamw_wd1e-03_6x512_mem4_resmem-1_bs6_bptt--1_from_cpt_0-6_teacher-forcing/run_mem_test,900,1.0,1.0,-1,False
gpt2,,modeling_rmt.block_resrmt:GPT2ModelWithBlockWiseMemory,decoder,1e-05,1,linear,6,16,/data/home/admin/rmt/runs/qa3_three-supporting-facts/gpt2/bwrmt/linear_adamw_wd1e-03_6x512_mem16_resmem-1_bs6_bptt--1_from_cpt_0-6_teacher-forcing/run_test2,1600,1.0,1.0,-1,False
gpt2,,modeling_rmt.block_resrmt:GPT2ModelWithBlockWiseMemory,decoder,1e-05,1,linear,6,0,/data/home/admin/rmt/runs/qa3_three-supporting-facts/gpt2/bwrmt/linear_adamw_wd1e-03_6x512_mem0_resmem0_bs6_bptt--1_from_cpt_0-6_teacher-forcing/run_mem_test,800,1.0,1.0,-1,False
gpt2,,modeling_rmt.block_resrmt:GPT2ModelWithBlockWiseMemory,decoder,1e-05,1,linear,6,0,/data/home/admin/rmt/runs/qa3_three-supporting-facts/gpt2/bwrmt/linear_adamw_wd1e-03_6x512_mem0_resmem0_bs6_bptt--1_from_cpt_0-6_teacher-forcing/run_mem_test,0,0.0,,-1,False
